Stock,1,2,3,4,5,6,7,8,9
OKE,3346,2363,848,1033,630,632,374,430,411
ORCL,2968,1504,1753,1055,696,111,209,177,219
OTIS,0,0,2,34,52,29,0,0,0
PCAR,2518,1498,1188,1403,1423,797,684,481,213
PKG,2660,429,112,146,497,335,200,291,513
PH,4161,2057,972,681,512,483,546,409,384
PAYX,2571,2491,1401,820,657,456,383,410,144
PAYC,445,355,328,175,89,64,81,50,22
PYPL,343,9,333,141,63,44,129,165,75
PNR,4310,1438,1697,1447,401,536,614,855,643
PBCT,3294,1876,418,259,230,170,284,913,662
PEP,2105,2097,1563,2592,886,502,753,884,789
PKI,2234,2069,832,2297,1786,1009,869,484,411
PRGO,3565,482,296,253,481,409,667,579,501
PFE,4240,2053,846,383,201,179,148,283,264
PM,49,446,293,206,265,843,558,293,187
PSX,195,77,84,171,188,676,318,230,174
PNW,2251,1885,2486,1839,881,912,1100,366,271
PXD,2658,881,601,592,200,155,180,259,280
PNC,2557,1512,1658,1540,1846,836,781,295,273
PPG,4661,1397,1004,492,504,264,354,608,921
PPL,3333,2715,1426,936,451,496,328,299,221
PFG,1023,1131,1042,856,589,74,12,8,14
PG,2124,3272,1783,1801,658,1393,2302,1094,343
PGR,4243,1495,996,934,901,565,515,372,184
PLD,1558,993,1414,295,221,268,105,407,471
PRU,394,545,661,854,450,804,265,348,392
PEG,1900,2854,1342,1631,794,344,483,547,362
PSA,3922,2950,696,631,783,397,243,287,125
PHM,3232,2003,1129,836,701,561,653,603,487
PVH,3826,1167,890,700,754,878,713,695,582
QRVO,154,0,20,102,247,330,399,152,24
QCOM,1463,1789,1039,1006,995,379,204,175,185
PWR,1303,2009,1423,193,112,104,246,177,110
DGX,501,764,1169,1809,650,339,177,225,334
RL,2570,927,322,377,299,379,366,328,278
RJF,2915,1987,1003,634,658,442,603,572,558
RTX,4452,2320,1346,1104,1126,1027,735,438,235
O,1560,1203,1503,617,626,455,234,224,94
REG,787,992,1313,1108,892,580,535,449,104
REGN,2678,1306,1123,586,405,360,322,349,285
RF,3655,1952,335,479,971,610,764,1074,365
RSG,1247,1557,437,275,266,437,446,620,296
RMD,2273,1056,401,518,462,490,396,354,409
RHI,3410,2270,1435,711,761,534,355,288,441
ROK,3333,1548,1200,998,613,493,418,386,763
ROL,2693,1668,1468,1078,313,328,474,432,214
ROP,2676,1000,749,847,602,406,331,335,247
ROST,2370,2019,862,590,914,834,387,495,369
RCL,2008,1299,1439,230,183,322,548,594,266
SPGI,2501,3048,2504,1607,641,636,484,308,262
CRM,1377,242,603,283,408,253,400,293,220
SBAC,1758,983,1180,399,202,143,207,191,277
SLB,3342,1208,667,1307,1323,1112,594,130,69
STX,1389,550,642,653,329,155,212,220,313
SEE,3593,1501,712,1418,332,127,57,84,66
SRE,1980,618,1022,349,181,146,176,448,663
NOW,422,349,240,151,194,207,310,150,35
SHW,3053,1786,1360,1350,1022,573,584,245,232
SPG,2634,394,363,447,1036,463,261,578,553
SWKS,2182,1619,846,688,544,732,796,846,819
SLG,1418,383,357,421,447,532,516,866,861
SNA,5054,2809,1391,607,238,307,186,663,736
SO,2810,1904,1742,1079,926,303,309,420,259
LUV,3913,445,805,1136,1150,600,733,847,628
SWK,3245,1997,1261,898,579,706,407,471,641
SBUX,1787,810,815,884,1095,595,491,329,294
STT,1280,1857,2249,927,1354,1276,559,456,247
STE,2698,1959,660,386,199,601,242,239,135
SYK,2297,1790,1564,1457,1040,662,524,524,347
SIVB,2048,2094,1124,1228,820,319,99,251,297
SYF,49,883,603,0,0,0,0,0,0
SNPS,2196,2657,809,393,215,126,251,334,204
SYY,2701,4240,1556,1374,721,561,418,204,163
TMUS,826,808,516,220,181,453,216,72,77
TROW,2777,732,1141,1011,603,1131,449,363,471
TTWO,2853,1048,305,316,348,161,254,262,340
TPR,759,1584,1340,968,202,49,20,22,64
TGT,2796,2473,2314,1414,947,814,353,433,447
TEL,300,958,230,197,550,257,255,316,267
FTI,765,1416,1395,543,285,101,112,125,93
TDY,1628,651,1043,529,371,254,142,212,398
TFX,2426,2020,1652,1197,1489,495,233,185,508
TXN,5198,2433,729,683,325,405,555,995,848
TXT,4180,2366,2231,1334,798,294,140,389,259
BK,2204,5257,2535,926,375,229,187,137,91
CLX,4465,2106,1722,1503,666,310,540,291,388
COO,2378,2168,1672,743,920,619,532,228,224
HSY,2374,2131,1533,1011,773,573,389,828,593
MOS,3573,1795,611,934,447,184,180,175,319
TRV,2469,3022,2109,1334,475,469,540,346,534
DIS,3611,3191,2086,1841,1320,788,543,567,823
TMO,3586,2317,1266,986,1013,240,293,257,247
TIF,1503,2723,1026,324,569,696,615,677,269
TJX,1808,1377,1698,707,650,202,199,237,138
TSCO,2558,262,354,390,426,444,672,934,643
TT,3201,1636,823,1132,477,591,492,825,1028
TDG,1542,732,336,433,136,135,121,103,106
TFC,3669,2458,1996,857,380,377,211,133,123
TWTR,445,304,605,243,96,23,1,0,0
TYL,4178,1898,1164,860,695,219,387,366,438
TSN,4498,1044,1006,618,695,750,585,460,549
USB,3172,1680,1286,781,606,298,224,183,252
UDR,3464,1522,2869,555,527,376,366,345,181
ULTA,922,1081,259,59,82,139,70,252,373
UAA,904,746,690,588,246,155,94,135,164
UA,674,199,123,27,0,13,26,137,100
UNP,3012,1565,1408,1127,754,616,746,575,454
UAL,379,757,585,486,374,374,270,345,100
UNH,2188,2433,878,1647,765,515,236,96,286
UPS,623,16,1145,1332,752,196,167,507,499
URI,2540,1177,593,199,259,242,214,204,286
UHS,4705,2075,625,406,353,313,394,409,594
UNM,4517,1740,1008,448,214,70,161,117,250
VLO,2810,1781,1091,1206,1042,577,564,340,340
VAR,3584,911,1283,1541,1095,791,539,231,230
VTR,1265,808,773,901,1531,440,68,50,37
VRSN,1778,1276,631,507,382,325,282,375,130
VRSK,635,257,328,218,187,396,376,276,73
VZ,3418,1179,1645,742,1227,183,429,196,254
VRTX,2655,922,1072,582,476,349,449,440,390
VFC,2561,1269,837,1229,1212,772,802,625,247
VIAC,53,72,34,17,0,0,0,0,0
V,1622,262,152,239,151,224,290,107,91
