Symbol,Name,Sector,Score
TDG,TransDigm Group,Industrials,0.17286200400616697
YUM,Yum! Brands Inc,Consumer Discretionary,0.15561003954141125
PLD,Prologis,Real Estate,0.2999398766240619
FE,FirstEnergy Corp,Utilities,0.4489157387970643
VRSN,Verisign Inc.,Information Technology,0.0894461610286427
PWR,Quanta Services Inc.,Industrials,0.2375235725784945
HSIC,Henry Schein,Health Care,0.18992524712724473
AEE,Ameren Corp,Utilities,0.4316888496000992
ANSS,ANSYS,Information Technology,0.1252414173877423
NVDA,Nvidia Corporation,Information Technology,0.17755339658312158
SEE,Sealed Air,Materials,0.3445757097121913
CTSH,Cognizant Technology Solutions,Information Technology,0.1272627854434326
SIVB,SVB Financial,Financials,0.1335007507671325
ISRG,Intuitive Surgical Inc.,Health Care,0.14964833139532382
TTWO,Take-Two Interactive,Communication Services,0.17050605394055024
RSG,Republic Services Inc,Industrials,0.13723452879203768
EBAY,eBay Inc.,Consumer Discretionary,0.09844850770569945
GS,Goldman Sachs Group,Financials,0.35058726977753213
SBAC,SBA Communications,Real Estate,0.13435006081364606
SRE,Sempra Energy,Utilities,0.14324646242790792
MCO,Moody's Corp,Financials,0.10840362934201889
BKNG,Booking Holdings Inc,Consumer Discretionary,0.12657268958590015
FFIV,F5 Networks,Information Technology,0.15220766646853645
AKAM,Akamai Technologies Inc,Information Technology,0.1308557867204384
MKTX,MarketAxess,Financials,0.1325241313359528
DVN,Devon Energy,Energy,0.3155749743801022
GOOGL,Alphabet Inc. (Class A),Communication Services,0.13516986682692844
TFX,Teleflex,Health Care,0.19690570532917848
NFLX,Netflix Inc.,Communication Services,0.14883192771852094
ALLE,Allegion,Industrials,0.4286700323174755
A,Agilent Technologies Inc,Health Care,0.15695035411592678
ANTM,Anthem,Health Care,0.1541883440336711
CME,CME Group Inc.,Financials,0.2701095181506822
JNPR,Juniper Networks,Information Technology,0.49681338009374576
BLK,BlackRock,Financials,0.19347378551957617
DTE,DTE Energy Co.,Utilities,0.18048713723889787
NDAQ,Nasdaq Inc.,Financials,0.1600376012747624
CE,Celanese,Materials,0.10850324736617628
PM,Philip Morris International,Consumer Staples,0.42626631220972416
CRM,Salesforce.com,Information Technology,0.14184430182034236
IR,Ingersoll Rand,Industrials,0.5677321585763554
HII,Huntington Ingalls Industries,Industrials,0.18926924785503715
MET,MetLife Inc.,Financials,0.43731326838045403
UA,Under Armour (Class C),Consumer Discretionary,0.2965112264797317
TPR,Tapestry Inc.,Consumer Discretionary,0.28066630252433067
CSX,CSX Corp.,Industrials,0.4599384199420221
EW,Edwards Lifesciences,Health Care,0.1467998029916622
AMP,Ameriprise Financial,Financials,0.22114355286112766
ZBRA,Zebra Technologies,Information Technology,0.1034263348280138
FTI,TechnipFMC,Energy,0.20440527265067227
ZBH,Zimmer Biomet Holdings,Health Care,0.250502194177997
